SiteNum,site,lat,long,avg_ph
1,NF Eagle Creek,65.434322,-145.518051,
2,NF No Name,66.11707914,-150.1677016,
3,NF Coldfoot,67.25862109,-150.1677958,
4,pass_20,68.17335,-149.4392667,5.33
5,8_01_1,68.2694667,-149.3938667,6.43
6,8_08_1,68.323,-149.34715,6.32
7,pass_1,68.3997167,-149.31955,5.5
8,8_07_1,68.4546167,-149.3774,6.15
9,Toolik_7,68.5164,-149.4760833,4.73
10,8_06_1,68.5742167,-149.5126,5.48
11,imnaviat,68.6138,-149.3142,4.32
12,toolik_pad_mid,68.6312,-149.5841,5.63
13,pump_station_7,68.6801,-149.17005,4.88
14,oil_spill_hill_21,68.6879167,-149.0859,6.1
15,oil_spill_hill_14,68.77075,-148.87285,4.76
16,pump_station,68.83125,-148.8296,
17,oil_spill_hill,68.9414667,-148.8742,4.94
18,7_23_1,69.0247,-148.8486,5.05
19,happy_valley_7,69.0541667,-148.8247,5.49
20,here12,69.0944167,-148.8333833,5.97
21,here5,69.2225833,-148.7931833,5.03
22,here6,69.3168333,-148.7209667,6.28
23,happy_valley_21,69.4086833,Ê-148.7312333,5.42
24,sag_plus,69.4546167,-148.6087667,7.68
25,8_19_1,69.5054,-148.5796833,6.51
26,dead_horse_35,69.62595,-148.6632,8.16
27,8_20_1,69.7060833,-148.7159167,7.76
28,8_25_1,69.7703167,-148.7167833,8.21
29,dead_horse_20,69.85355,-148.7755167,
30,8_22_2,69.9195333,-148.7833833,8.03
31,dead_horse_10,69.9886667,-148.7014667,7.92
32,dead_horse,70.1300333,-148.4809167,7.96
