site,lat,band1,band2,band3,band4,band5,band6,band7,NDWI
1,65.433917,0.066384516,0.231497484,0.038179605,0.065768182,0.281775316,0.196624204,0.098578344,0.402692742
2,66.116925,0.051041714,0.211074444,0.025061988,0.057543429,0.241720904,0.178763277,0.085723295,0.422345362
3,67.258767,0.050996512,0.204043605,0.032191716,0.057657225,0.216464327,0.140380117,0.065340351,0.514890553
4,68.323194,0.079985897,0.195104459,0.055617647,0.078501935,0.216455769,0.185853247,0.105069427,0.299942921
5,68.516467,0.097585987,0.26808,0.057888535,0.097308075,0.31038,0.246654777,0.119888387,0.381968268
6,68.613803,0.106675,0.289960119,0.070173333,0.103092216,0.339464881,0.240187349,0.114290476,0.4345563
7,68.631194,0.087412717,0.259684393,0.055475148,0.086373988,0.315563953,0.230093605,0.109797674,0.4056671
8,68.680256,0.096668421,0.266294152,0.059319412,0.092811696,0.331562573,0.240945614,0.1186,0.383726672
9,68.173361,0.090171739,0.197377206,0.067200763,0.088328261,0.228268421,0.185858647,0.106499259,0.299062142
10,68.77076,0.084183626,0.227546199,0.048716071,0.082643529,0.276777778,0.219652353,0.110628235,0.34573271
11,68.830813,0.074551462,0.212507602,0.042592771,0.074635673,0.253581395,0.20232924,0.101024561,0.355571306
12,68.269085,0.074108966,0.187647586,0.051088489,0.075247586,0.208614789,0.167764748,0.093620567,0.334296712
13,68.39975,0.096794268,0.221367532,0.066380263,0.095370779,0.275093464,0.243522876,0.149720915,0.193071538
14,68.455338,0.088608589,0.229934337,0.056693168,0.086559509,0.28114908,0.21517,0.114651534,0.334554645
15,68.574484,0.099378049,0.27053494,0.062976875,0.095348148,0.336790964,0.256553704,0.124404192,0.370008279
16,68.687994,0.092758621,0.264142857,0.055018713,0.089991954,0.325621469,0.250120231,0.121832184,0.368704341
17,68.94147,0.083872254,0.241898837,0.048422485,0.081542775,0.292121053,0.223582941,0.111878363,0.367520786
18,69.024306,0.079386982,0.24262381,0.043454762,0.078154438,0.278692857,0.213342262,0.103504706,0.401929045
19,69.505394,0.084969048,0.213451479,0.050255422,0.080719643,0.274723669,0.231264072,0.122691071,0.270005709
20,69.626383,0.083725,0.213294444,0.04894,0.079223567,0.261337267,0.226212658,0.126621118,0.254984873
21,69.853319,0.079364286,0.207722436,0.047643791,0.07630915,0.246501911,0.208007595,0.122035669,0.259847342
22,69.054189,0.085387209,0.259410465,0.050627381,0.082731395,0.314356977,0.23391,0.107858721,0.412644866
23,69.087393,0.078261047,0.252767647,0.045099408,0.07671345,0.311571765,0.235104167,0.109038235,0.397255597
24,69.223186,0.074387574,0.232788824,0.04116988,0.074269822,0.265040588,0.19719,0.099953529,0.399213665
25,69.316173,0.090705357,0.25666213,0.054261818,0.089026347,0.310994706,0.2286,0.110821893,0.396861434
26,69.408681,0.088678824,0.265479532,0.052472189,0.087392941,0.325273256,0.237849123,0.108724706,0.418901793
27,69.45458,0.086657317,0.242858084,0.049557764,0.085104321,0.311438323,0.250537423,0.123087273,0.327291518
28,69.706325,0.082127044,0.217630247,0.046452597,0.077455975,0.281968519,0.24478805,0.130973913,0.248580894
29,69.770282,0.078013253,0.211306667,0.049680247,0.079354217,0.235256024,0.188416867,0.103453614,0.342651404
30,69.919532,0.081916561,0.210946497,0.047575325,0.076732484,0.273713376,0.233314013,0.12805,0.244534966
31,69.989568,0.077776316,0.202830968,0.046061224,0.074714,0.25514586,0.212155195,0.118166879,0.263752825
32,70.130002,0.078616429,0.188944138,0.047264706,0.075357246,0.24609507,0.206131944,0.115706294,0.240399608
