"","kplant","LitterRateC","LitterRateN","UptakeRate","propN_fol","propN_roots","netNrate","cue","beta","Biomass_C","Biomass_N","SOM_C","SOM_N","Available_N"
"kplant",1,0.523642321058072,0.967922707123071,-0.987082127846451,-0.992511065053905,-0.98708238252027,-0.961565732871416,-0.546360729302597,0.189035636561868,-0.433046674806189,-0.868598842937639,-0.0528925229477984,0.165551217188636,-0.868738280411987
"LitterRateC",0.523642321058072,1,0.528556327537657,-0.609700884930836,-0.439554865728122,-0.609699123687511,-0.547389674827245,-0.987934655587449,-0.718607632884148,0.375523478316649,-0.170791604434305,0.697052309582351,0.00344404042857329,-0.170640418169265
"LitterRateN",0.967922707123071,0.528556327537657,1,-0.974023529109913,-0.969668947966559,-0.974023723087872,-0.999292292478831,-0.544772132763917,0.173388085016741,-0.338262315273833,-0.751103845083523,-0.0553088768474668,0.194808734933071,-0.751559512756744
"UptakeRate",-0.987082127846451,-0.609700884930836,-0.974023529109913,1,0.966730381941047,0.999999999997278,0.971018453112395,0.63108695420142,-0.0750796042601574,0.329153598559255,0.7856983951833,-0.0308549545002842,-0.151065488750484,0.785716255165348
"propN_fol",-0.992511065053905,-0.439554865728122,-0.969668947966559,0.966730381941047,1,0.966730852749346,0.962046164008622,0.460954497803067,-0.288432571874935,0.491910662257329,0.888602745655537,0.136989845771,-0.185941399881683,0.888891044702054
"propN_roots",-0.98708238252027,-0.609699123687511,-0.974023723087872,0.999999999997278,0.966730852749346,1,0.971018587329143,0.631085224177082,-0.0750818278054912,0.329155291396686,0.785699375980474,-0.0308531217982057,-0.151065790446841,0.78571723692641
"netNrate",-0.961565732871416,-0.547389674827245,-0.999292292478831,0.971018453112395,0.962046164008622,0.971018587329143,1,0.562960478971991,-0.148120995850985,0.309805773229696,0.731038437389801,0.033958369585812,-0.193363934011267,0.731505885902414
"cue",-0.546360729302597,-0.987934655587449,-0.544772132763917,0.63108695420142,0.460954497803067,0.631085224177082,0.562960478971991,1,0.715244614202138,-0.369418460941721,0.19826755416772,-0.689485803454492,-0.00317641419009736,0.198089856150027
"beta",0.189035636561868,-0.718607632884148,0.173388085016741,-0.0750796042601574,-0.288432571874935,-0.0750818278054912,-0.148120995850985,0.715244614202138,1,-0.779468920943611,-0.485672708229384,-0.841062147561966,0.139990783987145,-0.486074076180758
"Biomass_C",-0.433046674806189,0.375523478316649,-0.338262315273833,0.329153598559255,0.491910662257329,0.329155291396686,0.309805773229696,-0.369418460941721,-0.779468920943611,1,0.713297190204068,0.709320768487283,-0.217186032509407,0.713927390490916
"Biomass_N",-0.868598842937639,-0.170791604434305,-0.751103845083523,0.7856983951833,0.888602745655537,0.785699375980474,0.731038437389801,0.19826755416772,-0.485672708229384,0.713297190204068,1,0.290691499448974,-0.152518203345871,0.999884976998638
"SOM_C",-0.0528925229477984,0.697052309582351,-0.0553088768474668,-0.0308549545002842,0.136989845771,-0.0308531217982057,0.033958369585812,-0.689485803454492,-0.841062147561966,0.709320768487283,0.290691499448974,1,-0.166666666666667,0.291413742463676
"SOM_N",0.165551217188636,0.00344404042857329,0.194808734933071,-0.151065488750484,-0.185941399881683,-0.151065790446841,-0.193363934011267,-0.00317641419009736,0.139990783987145,-0.217186032509407,-0.152518203345871,-0.166666666666667,1,-0.158075103285622
"Available_N",-0.868738280411987,-0.170640418169265,-0.751559512756744,0.785716255165348,0.888891044702054,0.78571723692641,0.731505885902414,0.198089856150027,-0.486074076180758,0.713927390490916,0.999884976998638,0.291413742463676,-0.158075103285622,1
